Position,Const,Created,Modified,Description,Name,KnownFor,BirthDate
1,nm0000136,2013-05-24,2013-05-24,,"Johnny Depp","Pirates of the Caribbean: The Curse of the Black Pearl","June 9, 1963"
2,nm0000199,2013-05-24,2013-05-24,,"Al Pacino","Serpico","April 25, 1940"
3,nm0000134,2013-05-24,2013-05-24,,"Robert De Niro","Cape Fear","August 17, 1943"
4,nm0000228,2013-05-24,2013-05-24,"He always is My favorite","Kevin Spacey","L.A. Confidential","July 26, 1959"
5,nm0000243,2013-05-24,2013-05-24,,"Denzel Washington","Fences","December 28, 1954"
6,nm0000128,2013-05-24,2013-05-24,,"Russell Crowe","Les Misérables","April 7, 1964"
7,nm0000093,2013-05-24,2013-05-24,,"Brad Pitt","Fight Club","December 18, 1963"
8,nm0001401,2013-05-24,2013-05-24,,"Angelina Jolie","Maleficent","June 4, 1975"
9,nm0000138,2013-05-24,2013-05-24,,"Leonardo DiCaprio","Inception","November 11, 1974"
10,nm0000129,2013-05-24,2013-05-24,,"Tom Cruise","Top Gun","July 3, 1962"
11,nm0000237,2013-05-24,2013-05-24,,"John Travolta","Pulp Fiction","February 18, 1954"
12,nm0000216,2013-05-24,2013-05-24,,"Arnold Schwarzenegger","Terminator 2: Judgment Day","July 30, 1947"
13,nm0000230,2013-05-24,2013-05-24,,"Sylvester Stallone","Rocky","July 6, 1946"
14,nm0000701,2013-05-24,2013-05-24,,"Kate Winslet","Eternal Sunshine of the Spotless Mind","October 5, 1975"
15,nm0000288,2013-05-24,2013-05-24,,"Christian Bale","The Dark Knight","January 30, 1974"
16,nm0000151,2013-05-24,2013-05-24,,"Morgan Freeman","Se7en","June 1, 1937"
17,nm0000206,2013-05-24,2013-05-24,,"Keanu Reeves","The Matrix","September 2, 1964"
18,nm0000115,2013-05-24,2013-05-24,,"Nicolas Cage","Face/Off","January 7, 1964"
19,nm0413168,2013-05-24,2013-05-24,,"Hugh Jackman","Les Misérables","October 12, 1968"
20,nm0001570,2013-05-24,2013-05-24,,"Edward Norton","Fight Club","August 18, 1969"
21,nm0000246,2013-05-24,2013-05-24,,"Bruce Willis","Die Hard","March 19, 1955"
22,nm0000158,2013-05-24,2013-05-24,,"Tom Hanks","Cast Away","July 9, 1956"
23,nm0000234,2013-05-24,2013-05-24,,"Charlize Theron","Monster","August 7, 1975"
24,nm0000226,2013-05-24,2013-05-24,,"Will Smith","The Fresh Prince of Bel-Air","September 25, 1968"
25,nm0000125,2013-05-24,2013-05-24,,"Sean Connery","Dr. No","August 25, 1930"
26,nm0461136,2013-05-24,2013-05-24,,"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","March 26, 1985"
27,nm0004874,2013-05-24,2013-05-24,,"Vin Diesel","Guardians of the Galaxy","July 18, 1967"
28,nm0000354,2013-05-24,2013-05-24,,"Matt Damon","Good Will Hunting","October 8, 1970"
29,nm0000152,2013-05-24,2013-05-24,,"Richard Gere","Chicago","August 31, 1949"
30,nm0001876,2013-05-24,2013-05-24,,"Catherine Zeta-Jones","Chicago","September 25, 1969"
31,nm0654110,2013-05-24,2013-05-24,,"Clive Owen","Children of Men","October 3, 1964"
32,nm0000154,2013-05-24,2013-05-24,,"Mel Gibson","Braveheart","January 3, 1956"
33,nm0000123,2013-05-24,2013-05-24,,"George Clooney","Michael Clayton","May 6, 1961"
34,nm0000197,2013-05-24,2013-05-24,,"Jack Nicholson","Chinatown","April 22, 1937"
35,nm0424060,2013-05-24,2013-05-24,,"Scarlett Johansson","Lost in Translation","November 22, 1984"
36,nm0362766,2013-05-24,2013-05-24,,"Tom Hardy","Inception","September 15, 1977"
37,nm0000375,2013-05-24,2013-05-24,,"Robert Downey Jr.","Iron Man","April 4, 1965"
38,nm0089217,2013-05-24,2013-05-24,,"Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","January 13, 1977"
39,nm0005212,2013-05-24,2013-05-24,,"Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","May 25, 1939"
40,nm0000104,2013-05-24,2013-05-24,,"Antonio Banderas","The Mask of Zorro","August 10, 1960"
41,nm0001602,2013-05-24,2013-05-24,,"Guy Pearce","Memento","October 5, 1967"
42,nm0000168,2013-05-24,2013-05-24,,"Samuel L. Jackson","Pulp Fiction","December 21, 1948"
43,nm0000113,2013-05-24,2013-05-24,,"Sandra Bullock","The Proposal","July 26, 1964"
44,nm0000212,2013-05-24,2013-05-24,,"Meg Ryan","When Harry Met Sally...","November 19, 1961"
45,nm1083271,2013-05-24,2013-05-24,,"Megan Fox","Transformers","May 16, 1986"
46,nm0000173,2013-05-24,2013-05-24,,"Nicole Kidman","Moulin Rouge!","June 20, 1967"
47,nm0124930,2013-05-24,2013-05-24,,"Gerard Butler","300","November 13, 1969"
48,nm0048932,2013-05-24,2013-05-24,,"Simon Baker","Margin Call","July 30, 1969"
49,nm0000139,2013-05-24,2013-05-24,,"Cameron Diaz","Vanilla Sky","August 30, 1972"
50,nm0001337,2013-05-24,2013-05-24,,"Katherine Heigl","One for the Money","November 24, 1978"
