Const,Name,Year
nm0000136,ALFS Award,1996
nm0000136,Golden Aries,1998
nm0000136,Golden Globe,2008
nm0000136,Rembrandt Award,2007
nm0000136,Rembrandt Award,2008
nm0000136,Career Achievement Award,2009
nm0000136,ShoWest Award,1990
nm0000136,Actor,2004
nm0000136,Honorary César,1999
nm0000136,Audience Award,2004
nm0000136,MTV Movie Award,2007
nm0000136,Blockbuster Entertainment Award,2000
nm0000136,People's Choice Award,2006
nm0000136,Blimp Award,2008
nm0000136,Actor of the Year,2003
nm0000136,Empire Award,2004
nm0000136,Empire Award,2006
nm0000136,Teen Choice Award,2004
nm0000136,Teen Choice Award,2004
nm0000136,Teen Choice Award,2006
nm0000136,Teen Choice Award,2006
nm0000136,Teen Choice Award,2007
nm0000136,Teen Choice Award,2008
nm0000136,National Movie Award,2008
nm0000136,MTV Movie Award,2008
nm0000136,MTV Movie Award,2008
nm0000136,NRJ Ciné Award,2006
nm0000136,MTV Movie Award,2004
nm0000136,People's Choice Award,2007
nm0000136,People's Choice Award,2007
nm0000136,People's Choice Award,2007
nm0000136,Star on the Walk of Fame,1999
nm0000136,MTV Movie Award,2004
nm0000136,People's Choice Award,2005
nm0000136,People's Choice Award,2008
nm0000136,People's Choice Award,2010
nm0000136,People's Choice Award,2010
nm0000136,Blimp Award,2011
nm0000136,Rembrandt Award,2011
nm0000136,People's Choice Award,2011
nm0000136,Teen Choice Award,2011
nm0000136,SFX Award,2007
nm0000136,SFX Award,2004
nm0000136,Teen Choice Award,2011
nm0000136,People's Choice Award,2012
nm0000136,People's Choice Award,2012
nm0000136,MTV Generation Award,2012
nm0000136,National Movie Award,2011
nm0000136,Blimp Award,2013
nm0000136,People's Choice Award,2014
nm0000136,Distinguished Artisan Award,2014
nm0000136,Scream Award,2006
nm0000136,Jupiter Award,2007
nm0000136,Jupiter Award,2008
nm0000136,Jupiter Award,1996
nm0000136,Jupiter Award,2004
nm0000136,WFCC Award,2005
nm0000136,ACCA,2003
nm0000136,Golden Schmoes,2007
nm0000136,Fondazione Mimmo Rotella Special Award,2015
nm0000136,Modern Master Award,2016
nm0000136,Desert Palm Achievement Award,2016
nm0000136,People's Choice Award,2016
nm0000136,Golden Schmoes,2004
nm0000136,Bravo Otto Germany,2006
nm0000136,Yoga Award,2016
nm0000136,People's Choice Award,2017
nm0000136,Golden Schmoes,2003
nm0000136,Georges Award,2005
nm0000136,Georges Award,2007
nm0000136,Georges Award,2006
nm0000136,Yoga Award,2004
nm0000136,Georges Award,2009
nm0000136,Golden Schmoes,2003
nm0000136,Chainsaw Award,2000
nm0000136,Scream Award,2007
nm0000136,Special Achievement Award,2015
nm0000136,Honorable Mention,2021
nm0000136,Donostia Lifetime Achievement Award,2021
nm0000136,Nickelodeon Kid's Choice Award,2007
nm0000136,Honorary Award,2021
nm0000136,Deauville Talent Award,2019
nm0000199,LAFCA Award,1975
nm0000199,BSFC Award,1997
nm0000199,KCFCC Award,1975
nm0000199,NSFC Award,1973
nm0000199,NBR Award,1972
nm0000199,NBR Award,1973
nm0000199,Oscar,1993
nm0000199,Donostia Lifetime Achievement Award,1996
nm0000199,Prize San Sebastián,1975
nm0000199,Golden Globe,1993
nm0000199,Golden Globe,1974
nm0000199,Golden Globe,2004
nm0000199,Cecil B. DeMille Award,2001
nm0000199,DGA Award,1997
nm0000199,Actor,2004
nm0000199,BAFTA Film Award,1976
nm0000199,Special David,1973
nm0000199,David,1974
nm0000199,Primetime Emmy,2010
nm0000199,Primetime Emmy,2004
nm0000199,Career Golden Lion,1994
nm0000199,Lifetime Achievement Award,1996
nm0000199,Film Excellence Award,1992
nm0000199,Best Actor,1980
nm0000199,American Comedy Award,1991
nm0000199,Life Achievement Award,2007
nm0000199,Gala Tribute,2000
nm0000199,Best Actor,1992
nm0000199,Satellite Award,2010
nm0000199,Golden Globe,2011
nm0000199,Actor,2011
nm0000199,Queer Lion Award,2011
nm0000199,Razzie Award,2012
nm0000199,Razzie Award,2012
nm0000199,Career Achievement Award,2012
nm0000199,Golden Camera for Lifetime Achievement,2013
nm0000199,OFTA Television Award,2010
nm0000199,OFTA Film Hall of Fame,2003
nm0000199,EDA Special Mention Award,2016
nm0000199,Gold Derby TV Award,2010
nm0000199,Gold Derby TV Award,2004
nm0000199,Gold Derby TV Award,2010
nm0000199,Yoga Award,2009
nm0000199,Festival Prize,2017
nm0000199,Kennedy Center Honors,2016
nm0000199,CinEuphoria,2019
nm0000199,Hollywood Film Award,2019
nm0000199,Icon Award,2019
nm0000199,Chainsaw Award,1998
nm0000199,Jaeger-LeCoultre Glory to the Filmmaker Award,2011
nm0000199,OFTA Film Hall of Fame,2022
nm0000199,Jack Valenti Legend Award,2013
nm0000134,LAFCA Award,1976
nm0000134,LAFCA Award,1980
nm0000134,BSFC Award,1981
nm0000134,NYFCC Award,1976
nm0000134,NYFCC Award,1980
nm0000134,NYFCC Award,1990
nm0000134,NSFC Award,1974
nm0000134,NSFC Award,1976
nm0000134,NBR Award,1980
nm0000134,NBR Award,1990
nm0000134,Oscar,1975
nm0000134,Oscar,1981
nm0000134,Donostia Lifetime Achievement Award,2000
nm0000134,Golden Globe,1981
nm0000134,Golden Camera for Lifetime Achievement,2008
nm0000134,Hollywood Film Award,2009
nm0000134,Career Golden Lion,1993
nm0000134,Blockbuster Entertainment Award,2000
nm0000134,Lifetime Achievement Award,2001
nm0000134,Christopher Award,1997
nm0000134,Special Prize for Outstanding Contribution to World Cinema,2008
nm0000134,Life Achievement Award,2003
nm0000134,Man of the Year,1979
nm0000134,Honorary Prize,1997
nm0000134,MTV Movie Award,2001
nm0000134,Sant Jordi,1978
nm0000134,Sant Jordi,1986
nm0000134,Fotogramas de Plata,1978
nm0000134,Taormina Arte Award,2010
nm0000134,Cecil B. DeMille Award,2011
nm0000134,Golden Phoenix,1981
nm0000134,Britannia Award,2009
nm0000134,Silver Berlin Bear,2007
nm0000134,Hollywood Film Award,2012
nm0000134,Kirk Douglas Award for Excellence in Film,2013
nm0000134,Muse Award,1993
nm0000134,Capri Ensemble Cast Award,2012
nm0000134,NYFCC Award,1973
nm0000134,DFCS Award,2012
nm0000134,Jupiter Award,1993
nm0000134,MINY,2012
nm0000134,Career Achievement Award,2015
nm0000134,OFTA Film Hall of Fame,1998
nm0000134,Christopher Award,2003
nm0000134,Gold Derby Film Award,2014
nm0000134,Gold Derby Film Award,2013
nm0000134,Career Achievement Award,2010
nm0000134,Yoga Award,2009
nm0000134,Honorary Heart of Sarajevo,2016
nm0000134,Gala Tribute,2017
nm0000134,Hollywood Film Award,2016
nm0000134,AACTA International Award,2013
nm0000134,Satellite Award,2018
nm0000134,Excellence in Media Award,2016
nm0000134,CinEuphoria,2019
nm0000134,Life Achievement Award,2020
nm0000134,Icon Award,2019
nm0000134,Gotham Independent Film Award,2019
nm0000134,National Film and Television Award,2019
nm0000134,Kennedy Center Honors,2009
nm0000134,Creative Impact in Acting Award,2020
nm0000134,Best Actor,1978
nm0000134,BEFTTA Award,1978
nm0000134,Lifetime Achievement Award,2006
nm0000134,Black Reel,2019
nm0000134,OFTA Film Hall of Fame,2021
nm0000134,NYFCC Award,1973
nm0000134,Movies for Grownups Award,2024
nm0000228,CFCA Award,1996
nm0000228,CFCA Award,2000
nm0000228,SEFCA Award,2000
nm0000228,SDFCS Award,1999
nm0000228,Special Achievement Award,1998
nm0000228,ALFS Award,2000
nm0000228,Golden Aries,2000
nm0000228,Sierra Award,2000
nm0000228,DFWFCA Award,1996
nm0000228,DFWFCA Award,2000
nm0000228,BSFC Award,1995
nm0000228,BSFC Award,1997
nm0000228,KCFCC Award,1999
nm0000228,OFCS Award,2000
nm0000228,FFCC Award,2000
nm0000228,TFCA Award,1999
nm0000228,NYFCC Award,1995
nm0000228,NBR Award,1995
nm0000228,NBR Award,1995
nm0000228,Tribute to Independent Vision Award,2000
nm0000228,Oscar,1996
nm0000228,Oscar,2000
nm0000228,Special Award,2008
nm0000228,Actor,2000
nm0000228,Actor,2000
nm0000228,BAFTA Film Award,2000
nm0000228,Sonny Bono Visionary Award,2005
nm0000228,MTV Movie Award,1996
nm0000228,Film Excellence Award,1999
nm0000228,Chlotrudis Award,1996
nm0000228,Chlotrudis Award,1998
nm0000228,Chlotrudis Award,2000
nm0000228,Maverick Tribute Award,1998
nm0000228,Golden Apple,2001
nm0000228,Role Model Award,2002
nm0000228,Empire Award,1998
nm0000228,Peter J. Owens Award,2002
nm0000228,Star on the Walk of Fame,1999
nm0000228,Best Actor,1992
nm0000228,Golden Space Needle Award,1995
nm0000228,Robert Altman Award,2012
nm0000228,STFC Award,1995
nm0000228,Critics Choice Award,1996
nm0000228,STFC Award,1997
nm0000228,OFTA Film Award,2000
nm0000228,Jupiter Award,2001
nm0000228,Audience Award,2001
nm0000228,Golden Globe,2015
nm0000228,Actor,2015
nm0000228,ACCA,1999
nm0000228,Golden Camera,2015
nm0000228,ACCA,1995
nm0000228,ACCA,1995
nm0000228,Actor,2016
nm0000228,NAVGTR Award,2015
nm0000228,EDA Special Mention Award,2018
nm0000228,Felix,2016
nm0000228,Chainsaw Award,1996
nm0000228,Webby Award,2013
nm0000228,FIFF Award,2024
nm0000228,Folkestone Independent Film Award,2024
nm0000243,CFCA Award,1993
nm0000243,SEFCA Award,1993
nm0000243,SEFCA Award,1997
nm0000243,WAFCA Award,2002
nm0000243,LAFCA Award,2001
nm0000243,BSFC Award,1992
nm0000243,BSFC Award,2001
nm0000243,KCFCC Award,1989
