Tconst,Const,Name,Year,Rating,Genre
tt0408236,nm0000136,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"Drama, Horror, Musical, Thriller"
tt0325980,nm0000136,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Action, Adventure, Fantasy"
tt0449088,nm0000136,Pirates of the Caribbean: At World's End,2007,7.1,"Action, Adventure, Fantasy"
tt0383574,nm0000136,Pirates of the Caribbean: Dead Man's Chest,2006,7.4,"Action, Adventure, Fantasy"
tt0367594,nm0000136,Charlie and the Chocolate Factory,2005,6.7,"Adventure, Comedy, Family, Fantasy, Musical"
tt3045616,nm0000136,Mortdecai,2015,5.5,"Action, Adventure, Comedy, Crime, Mystery"
tt1210819,nm0000136,The Lone Ranger,2013,6.4,"Action, Adventure, Drama, Western"
tt0109707,nm0000136,Ed Wood,1994,7.8,"Biography, Comedy, Drama"
tt0162661,nm0000136,Sleepy Hollow,1999,7.3,"Fantasy, Horror, Mystery"
tt1077368,nm0000136,Dark Shadows,2012,6.2,"Comedy, Fantasy, Horror"
tt1355683,nm0000136,Black Mass,2015,6.8,"Biography, Crime, Drama"
tt1298650,nm0000136,Pirates of the Caribbean: On Stranger Tides,2011,6.6,"Action, Adventure, Fantasy"
tt11847842,nm0000136,The Tourist,2010,6,"Action, Drama, Mystery, Thriller"
tt0308644,nm0000136,Finding Neverland,2004,7.7,"Biography, Drama, Family"
tt0112883,nm0000136,Don Juan DeMarco,1994,6.7,"Comedy, Drama, Romance"
tt0106387,nm0000136,Benny & Joon,1993,7.1,"Comedy, Drama, Romance"
tt1192628,nm0000136,Rango,2011,7.3,"Animation, Action, Adventure, Comedy, Family, Western"
tt0099487,nm0000136,Edward Scissorhands,1990,7.9,"Drama, Fantasy, Romance"
tt0285823,nm0000136,Once Upon a Time in Mexico,2003,6.3,"Action, Crime, Thriller"
tt0120669,nm0000136,Fear and Loathing in Las Vegas,1998,7.5,"Adventure, Comedy, Drama"
tt0070666,nm0000199,Serpico,1973,7.7,"Biography, Crime, Drama, Thriller"
tt0072890,nm0000199,Dog Day Afternoon,1975,8,"Biography, Crime, Drama, Thriller"
tt0068646,nm0000199,The Godfather,1972,9.2,"Crime, Drama"
tt0099422,nm0000199,Dick Tracy,1990,6.2,"Action, Comedy, Crime, Music, Romance, Thriller"
tt0078718,nm0000199,And Justice for All,1979,7.4,"Crime, Drama, Thriller"
tt0104348,nm0000199,Glengarry Glen Ross,1992,7.7,"Crime, Drama, Mystery"
tt0105323,nm0000199,Scent of a Woman,1992,8,Drama
tt0118971,nm0000199,The Devil's Advocate,1997,7.5,"Drama, Fantasy, Mystery, Thriller"
tt1302006,nm0000199,The Irishman,2019,7.8,"Biography, Crime, Drama"
tt0119008,nm0000199,Donnie Brasco,1997,7.7,"Biography, Crime, Drama"
tt0071562,nm0000199,The Godfather Part II,1974,9,"Crime, Drama"
tt0106519,nm0000199,Carlito's Way,1993,7.9,"Crime, Drama, Thriller"
tt0278504,nm0000199,Insomnia,2002,7.2,"Drama, Mystery, Thriller"
tt0810913,nm0000199,Jack and Jill,2011,3.3,Comedy
tt0099674,nm0000199,The Godfather Part III,1990,7.6,"Crime, Drama"
tt0140352,nm0000199,The Insider,1999,7.8,"Biography, Drama, History, Thriller"
tt0417217,nm0000199,Two for the Money,2005,6.2,"Crime, Drama, Sport"
tt0146838,nm0000199,Any Given Sunday,1999,6.9,"Drama, Sport"
tt0086250,nm0000199,Scarface,1983,8.3,"Crime, Drama"
tt1772288,nm0000199,Danny Collins,2015,7,"Comedy, Drama, Music"
tt0101540,nm0000134,Cape Fear,1991,7.3,"Crime, Thriller"
tt0081398,nm0000134,Raging Bull,1980,8.1,"Biography, Drama, Sport"
tt0075314,nm0000134,Taxi Driver,1976,8.2,"Crime, Drama"
tt0077416,nm0000134,The Deer Hunter,1978,8.1,"Drama, War"
tt0070379,nm0000134,Mean Streets,1973,7.2,"Crime, Drama, Thriller"
tt1302006,nm0000134,The Irishman,2019,7.8,"Biography, Crime, Drama"
